_Word,Pron,Log_Freq_HAL,Log_Freq_SUBTLEX,aoa
a,e,16.18,6.02,2.89
Abe,eb,7.12,NULL,NaN
ace,es,8.85,2.88,8.83
ache,ek,6.74,2.11,5.79
ached,ekt,5.69,1.23,5.79
aches,eks,6.04,1.89,5.79
act,ækt,11.19,3.75,6.42
acts,ækts,9.87,2.8,6.42
ad,æd,10.67,2.84,8.22
add,æd,11.64,3.23,5.1
adds,ædz,9.38,2.31,5.1
ads,ædz,10.19,2.41,8.22
aft,æft,6.84,2.26,13.88
age,eĵ,11.11,3.61,4.38
ah,ɑ,10.02,4.02,NaN
aid,ed,9.83,2.85,7.33
aide,ed,7.36,2.02,7.83
aides,edz,6.51,1.52,7.83
aids,edz,10,1.74,8.89
ail,el,5.45,1.08,9.71
aim,em,8.97,2.88,6.72
aimed,emd,8.88,2,6.72
aims,emz,7.95,1.79,6.72
ain't,ent,9.95,NULL,NaN
air,ɛr,11.3,3.85,3.94
aired,ɛrd,8.04,1.66,3.94
airs,ɛrz,7.38,1.6,3.94
aisle,Ĩl,7.24,2.58,5.95
Al,æl,11.17,3.72,NaN
Al's,ælz,6.85,NULL,NaN
ale,el,8.5,2.31,10.16
all,ɔl,14.35,5.42,4.24
alms,ɑmz,4.9,1.42,9.91
Alp,ælp,6.24,0.85,NaN
Alps,ælps,6.69,1.8,NaN
am,æm,13.21,4.75,5.11
amp,æmp,9.09,1.97,12.11
an,æn,14.27,4.98,2.89
and,ænd,16.19,5.83,4.57
angst,ɑŋst,7.6,1.68,13.12
Ann,æn,9.54,3.11,NaN
Ann's,ænz,6.04,NULL,NaN
Anne,æn,9.22,3.03,NaN
Anne's,ænz,6.17,NULL,NaN
ant,ænt,7.93,2.44,4.32
ants,ænts,8.37,2.56,4.32
ape,ep,8.26,2.69,5.89
apse,æps,2.56,NULL,12.74
apt,æpt,8.24,1.95,12.5
arc,ɑrk,8.97,2.39,9.42
arch,ɑr©,8.22,2.28,8.26
arched,ɑr©t,6.99,1,9.89
arcs,ɑrks,6.6,1,9.42
are,ɑr,14.91,5.42,5.11
aren't,ɑrnt,11.07,NULL,NaN
ark,ɑrk,7.97,2.3,7.17
arm,ɑrm,9.92,3.52,3.26
arm's,ɑrmz,5.81,NULL,NaN
armed,ɑrmd,9.46,3.07,8.72
arms,ɑrmz,10.4,3.48,3.74
art,ɑrt,11.04,3.56,6.21
art's,ɑrts,5.38,NULL,NaN
arts,ɑrts,10.03,2.67,5.97
as,æz,14.79,5.05,6.1
ash,æ∫,8.19,2.67,6.63
ask,æsk,11.84,4.39,2.89
asked,æskt,11.53,4.04,2.89
asks,æsks,9.71,2.93,2.89
asp,æsp,8.21,0.85,10.69
ass,æs,10.3,4.06,7.84
at,æt,14.5,5.21,4.04
ate,et,8.86,3.24,2.78
aught,ɔt,4.74,1.28,NaN
aunt,ænt,7.95,3.45,3.8
aunt's,ænts,5.04,NULL,NaN
aunts,ænts,6.06,1.9,3.8
awe,ɔ,7.91,2.13,9.06
awed,ɔd,5.58,0.85,10.41
awl,ɔl,4.71,0.48,10.75
ax,æks,8.05,2.35,6.32
axe,æks,8.03,2.4,6.11
aye,Ĩ,6.74,3.35,9.69
ayes,Ĩz,4.39,1,NaN
babe,beb,8.06,3.26,6.61
babes,bebz,7.2,2.25,6.61
Bach,bɑk,8.1,2.01,NaN
back,bæk,12.88,5.01,5.31
backed,bækt,8.84,2.58,5.31
backs,bæks,8.47,2.6,5.31
bad,bæd,11.94,4.44,2.79
bade,bæd,4.91,1.36,9.84
badge,bæĵ,7.62,2.89,6.11
bag,bæg,9.71,3.68,4.28
bagged,bægd,6.93,1.98,4.28
bags,bægz,8.67,3.16,4.28
bah,bɑ,6.67,2,NaN
bail,bel,7.86,2.95,10.16
bairn,bɛrn,1.79,1.11,12
bait,bet,8.36,2.7,7.11
bake,bek,7.84,2.51,5.5
baked,bekt,7.48,2.53,NaN
bakes,beks,4.28,1.45,5.5
bald,bɔld,7.92,2.7,7.26
bale,bel,6.32,2.02,8.2
bales,belz,6.17,1,8.2
balk,bɔk,5.66,0.6,12.93
balked,bɔkt,5.42,1,12.93
balks,bɔks,4.56,0.3,12.93
ball,bɔl,10.56,3.73,2.9
ball's,bɔlz,5.06,NULL,NaN
balled,bɔld,4.62,1.38,2.9
balls,bɔlz,9.49,3.31,2.9
balm,bɑm,7.32,1.49,10.28
ban,bæn,9.37,2.21,10.11
band,bænd,10.8,3.44,6.16
bands,bændz,9.76,2.44,6.16
bane,ben,6.86,1.98,9.6
bang,bæŋ,8.82,3.01,5.74
banged,bæŋd,6.36,2.21,5.74
bangs,bæŋz,6.72,1.97,5.74
bank,bæŋk,10.58,3.64,6.44
banked,bæŋkt,5.69,1.36,6.44
banks,bæŋks,9.5,2.91,6.44
banned,bænd,8.89,2.14,10.11
bans,bænz,7.07,0.3,10.11
bar,bɑr,10.36,3.64,6.9
barb,bɑrb,7.21,2.08,9.88
barbed,bɑrbd,6.77,1.83,10
